k_max,alfa,lamda,f,avg_error_rate
10,0.6419534386137888,0.9963330198840697,1.249869571783086,0.01576666666666667
10,0.12442118792736176,0.38566265179550147,0.8295500598615655,0.010533333333333334
7,0.4193275378922479,0.5752547813926547,1.0035918644746393,0.0192
9,1.0,0.658102959422976,1.2676887524598315,0.011333333333333334
4,0.2100459318709776,0.6344441039395952,0.9499658796568082,0.021199999999999997
9,0.1,0.63039154395312,0.9550974774087168,0.013
7,0.274627560503762,0.8454981441596705,1.243020739365598,0.010666666666666666
9,0.6802059100184851,0.42139084535073174,1.4518862208315222,0.015466666666666665
6,0.32091740812525293,0.2558143986132684,0.663131299843514,0.015599999999999998
9,0.10901287840314991,0.6957752302785077,0.9059031073917866,0.014266666666666669
